,Unnamed: 0,url,title,price,rating,description,"Brand,Seller,orCollectionName",Modelnumber,PartNumber,ItemShape,Dialwindowmaterialtype,DisplayType,Clasp,Casematerial,Casediameter,CaseThickness,BandMaterial,Bandwidth,BandColor,Dialcolor,Bezelfunction,Movement,Waterresistantdepth,ProductWarranty,Metalstamp,Bezelmaterial,Specialfeatures,Itemweight,Bandsize,Calendar,Warranty,ModelYear,Material,ItemLength,Width,Length,Chain,GemType,Setting,StoneWeight,Waterpressureresistance
419,419,https://www.amazon.com/Bulova-97P109-Diamond-Gallery-Japanese/dp/B00LMK2P3M/ref=sr_1_223?keywords=bulova&qid=1692030894&sr=8-223,Bulova Women's 97P109 Diamond Gallery Analog Display Japanese Quartz Yellow Watch,149.99,4.6,"From the Precisionist Collection. Featuring Bulova’s proprietary Precisionist quartz accuracy, in stainless steel with silver and black ion-plated finish, curved crystal, multiple-layer black carbon fiber, grey and silver dial, red continuously sweeping second hand, luminous hands and markers, curved calendar window, 24-hour track, screw-back case, screw-down crown, double-press fold-over clasp with safety lock, and water resistance to 300 meters.Precisionist TechnologyAt the heart of the watch is the Bulova Precisionist-class torsional resonator movement, custom-engineered to provide accuracy to within seconds a year using a three-prong quartz crystal that creates a vibration frequency of 262.144 kHz, the highest of any watch in the world and far greater than that of a standard quartz crystal. In laboratory testing, the Precisionist-class movement has been shown to be three times more accurate than standard quartz. This proprietary manufactured movement, including the signature floating second hand, also offers a resistance to gravitational error that makes it superior in performance to any mechanical watch on the market.Summary of FeaturesOne of the world’s most accurate movements – accurate to within seconds a yearPrecisionist-class torsional resonator movement proven in laboratory testing to be three times more accurate than standard quartzStainless steel case and bracelet with black ion-plated accentsCurved mineral crystalMultiple-layer black carbon fiber, grey, and silver dialRed continuously sweeping second handLuminous hour and minute handsLuminous markersCurved calendar windowScrew-back caseScrew-down crownDouble-press fold-over clasp with safety lockWater resistant to 300 metersAbout BulovaIn 1875, Joseph Bulova, a 23-year-old immigrant, set up shop in New York City and a legendary American watch brand was born. Since then, Bulova has stood proudly in the vanguard of timekeeping innovation, committed to the legacy of creativity and excellence established by its founder.A pioneering force in the industry, Bulova transformed how watches were worn and how time was perceived, registering over 50 patents as he and his company built a record of creativity including the first full lines of men’s (1919) and ladies’ (1924) wristwatches, the first clock/radio (1928) and the first electric clock (1931). To ensure the utmost in precision, in 1920, Bulova even established its own observatory – located atop its New York skyscraper. With that same spirit of innovation, following World War II, determined “to serve those who served us,” Bulova established The Bulova School of Watchmaking, using new and unique methods to train disabled veterans for positions in the watch and jewelry industry. Then, in 1960, Bulova changed timekeeping forever with the revolutionary Accutron, the world’s first fully electronic watch. An integral component of U.S. space technology, Accutron timing was used on 46 NASA missions, including Apollo XI, the first lunar landing (1969).Today, as one of the world’s most recognized brands, Bulova has expanded across the globe, with four separate watch brands, Bulova, Bulova AccuSwiss, Bulova Accutron II and Caravelle New York, as well as the award-winning Bulova Clocks.The signature Bulova brand provides an extensive selection of watches for every occasion, crafted of the finest materials, including 315L surgical grade stainless steel, diamonds, mother-of-pearl, carbon fiber, top-quality leather and Bulova’s proprietary Duramic™ nylon/ceramic composite, and powered by Precisionist-class quartz, automatic and quartz movements. An industry leader in diamond watch styling, with the new Diamond Gallery offering exquisite designs in stainless steel with sapphire crystals, Bulova is also known for Precisionist, featuring Bulova’s proprietary Precisionist-class quartz torsional resonator movement for accuracy to within seconds per year, the Marine Star collection, combining high-performance sports timekeeping with superior durability and water resistance to a minimum of 100 meters, and a comprehensive selection of classic styles, each with a three-year limited warranty.   From the Diamond Gallery Collection. In stainless steel with gold ion-plated finish, 10 diamonds individually hand-set on a white mother-of-pearl dial, sapphire crystal, second hand, deployant closure, and water resistance to 30 meters. Diameter: 26.0mm Thickness: 6.8mm", Bulova , 97P109 , 97P109 , Round , Sapphire Crystal , Analog , Buckle , Stainless Steel , 6.8 millimeters , 9 millimeters , Stainless Steel , 15 millimeters , Yellow , Mother of pearl , Stationary , Japanese Quartz , 99 Feet ," For warranty information about this product, please click here ",, Stainless Steel ,, 3 Ounces , Women's Standard ,,,,,,,,,,,,
420,420,https://www.amazon.com/Bulova-Mens-Maquina-Quartz-Watch/dp/B0BN4NKWTS/ref=sr_1_222?keywords=bulova&qid=1692030894&sr=8-222,Bulova Men's Maquina Quartz Watch,233.68,5.0,"Make a bold statement with the sporty, new Maquina timepiece – guaranteed to stand out on any wrist. The modern design with a rugged edge features a black ion-plated stainless steel case and dark gray and black dial with green accents that showcases the 5-hand chronograph movement and calendar on a matte black silicone strap. It also features a sapphire crystal and water resistance to 100 meters. This distinctive men’s Maquina watch offers a new twist on a bold chronograph that is essential for your sport style.", Bulova , 98B381 , 98B381 , Round , Sapphire Crystal , Chronograph , Buckle , Stainless Steel , 46 millimeters , 12 millimeters , Silicone , 24 millimeters , Black , Black , Stationary , Quartz , 100 Meters ," For warranty information about this product, please click here ",, Stainless Steel ," Stop Watch, Luminous Hands, Luminous Numbers ", 4.16 Ounces , Mens Standard , Date ,,,,,,,,,,,
421,421,https://www.amazon.com/Bulova-97F52-Diamond-Accented-Gold-Tone/dp/B000HX2WY2/ref=sr_1_225?keywords=bulova&qid=1692030894&sr=8-225,"Bulova Men's Classic Gold Tone Stainless Steel 3-Hand Date Quartz Watch, Diamond Dial Style: 97F52",361.25,4.5,"From the Classic Collection Stainless steel case with new three-hand day/date feature, silver-white dial with silver-tone hands and markers, domed mineral glass, and stainless steel bracelet with short fold-over double-push closure.   Make an impression in this handsome midsize Bulova dress watch, crafted from goldtone steel and accented with genuine diamonds. A handsome brick link bracelet, made up of alternating textured and polished pieces, leads to a champagne dial featuring tapered goldtone hands, a sweep seconds hand, and twelve genuine diamond markers. Richly textured and designed with bold masculine lines, this watch is the perfect complement to your dressier attire. It features precise Japanese quartz movement and is rated water resistant to 30 meters   
  In 1875, a young Czech immigrant named Joseph Bulova set up shop in New York City, and a legendary American watch brand was born. Bulova was trained as a jeweler, and his expertise carried over into his watchmaking career, which began around 1911 with boudoir clocks and pocket watches, and soon evolved to include what was then one of the latest and most fashionable technological innovations: the wristwatch. Bulova introduced its first line of wristwatches in 1919. The company grew and prospered, and soon early radio and television ads were declaring, ""America runs on Bulova time."" In the 1950s, continuing its legacy of innovation, Bulova introduced Accutron, the first electronic watch, and the first breakthrough in timekeeping technology in over 300 years. The Accutron timing mechanism was later adapted for use by NASA computers and a Bulova timer was even placed on the moon to control transmissions of data. Bulova timepieces have kept official time aboard Air Force One and have also served as official timepieces for U.S. Olympic teams. Today, Bulova maintains its tradition of excellence in technology and design, offering a diverse collection of beautiful precision timepieces for every occasion.   See more", Bulova , 97F52 , 97F52 , Rectangular , Mineral , Analog , Jewelry Clasp , Stainless Steel , 27 millimeters , 8 millimeters , Stainless Steel , 25 millimeters , Gold , Gold , Stationary , Japanese Quartz , 99 Feet ,,, Stainless Steel , Water Resistant ,, Mens Standard , Day-Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2011.0,,,,,,,,,
422,422,https://www.amazon.com/Caravelle-Designed-Bulova-Stainless-Silicone/dp/B07XS9K1CP/ref=sr_1_224?keywords=bulova&qid=1692030894&sr=8-224,"Caravelle Sport Chronograph Mens Watch, Stainless Steel",149.6,4.7,, Bulova , 45B157 , 45B157 , Round , Mineral , Analog , Buckle , Stainless Steel , 48 millimeters , 11.8 millimeters , Silicone , 24 millimeters , Black , Black , Stationary , Quartz , 100 Meters ,,, Stainless Steel , Chronograph ,, Mens Standard ,," For warranty information about this product, please click here [PDF ]  ",,,,,,,,,,
423,423,https://www.amazon.com/Bulova-Modern-Futuro-96L293-Silver-Tone/dp/B095195ZSX/ref=sr_1_227?keywords=bulova&qid=1692030894&sr=8-227,"Bulova Ladies' Modern Gemini 3-Hand Quartz Watch, Tonneau Shaped with Edge to Edge Crystal",262.9,4.9,, Bulova , 96L293 , 96L293 , Tonneau , Crystal , Analog , Push Button Deployment Clasp , Stainless Steel , 30 millimeters , 8.69 millimeters , Stainless Steel , 21 millimeters , Silver , Blue , Stationary , Japanese Quartz , 30 Meters ," For warranty information about this product, please click here ", no-metal-stamp , Brass , Water Resistant , 8 Ounces , Womens Standard , No Calendar ,,,,,,,,,,,
424,424,https://www.amazon.com/Bulova-Classic-Stainless-Diamond-Silver-Tone/dp/B01N7NKO6B/ref=sr_1_228?keywords=bulova&qid=1692030894&sr=8-228,"Bulova Ladies' Classic Dress Stainless Steel 2-Hand Quartz Watch, White Mother-of-Pearl Style: 96P175",295.0,4.5,Classic Ladies watch featuring a white MOP dial with diamond accent and stainless steel case and bracelet., Bulova , 96P175 , 96P175 , Round , Mineral , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 27 millimeters , 5.2 millimeters , Stainless Steel , 12.9 millimeters , Silver , White , Stationary , Quartz , 100 Feet ,,, Stainless Steel , Second Hand , 1.8 Ounces , Women's Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2016.0,,,,,,,,,
425,425,https://www.amazon.com/Bulova-Quartz-Stainless-Steel-Dress/dp/B07G5FVPDK/ref=sr_1_226?keywords=bulova&qid=1692030894&sr=8-226,"Bulova Men's Classic Chronograph Surveyor Watch, 43mm",229.0,4.5,, Bulova , 96C135 , 96C135 , Round , Mineral , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 42 millimeters , 12 millimeters , Stainless Steel , 20 millimeters , Silver , Silver , Stationary , Quartz , 100 Feet ,,, Stainless Steel , Chronograph , 3.2 Ounces , Men's Standard , Day-Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
426,426,https://www.amazon.com/Bulova-Classic-Stainless-Crystal-Accents/dp/B0B91ZD19D/ref=sr_1_229?keywords=bulova&qid=1692030894&sr=8-229,"Bulova Ladies' Classic Crystal Stainless Steel 3-Hand Quartz Watch, White Mother-of-Pearl Dial",184.99,4.7,, Bulova , 96L284 , 96L284 , Round , Crystal , Analog , Push Button Deployment Clasp , Stainless Steel , 30 millimeters , 6.15 millimeters , Stainless Steel , 14.65 millimeters , Silver , White , Stationary , Quartz , 30 Meters ," For warranty information about this product, please click here ",, Stainless Steel , Roman Numeral ,, Womens Standard , No Calendar ,,,,,,,,,,,
427,427,https://www.amazon.com/Caravelle-Quartz-Stainless-Steel-Watch/dp/B0773VJPR9/ref=sr_1_230?keywords=bulova&qid=1692030894&sr=8-230,"Caravelle by Bulova Men's Sport Chronograph Quartz Black Ion Plated Stainless Steel Watch, Black Dial Style: 45B150",148.75,4.3,"High performance chronograph in stainless steel with black ion-plated finish complete with multi-layer black dial, luminous hands, calendar, small sweep, and double-press fold-over clasp.   High performance chronograph in stainless steel with black ion-plated finish complete with multi-layer black dial, luminous hands, calendar, small sweep, and double-press fold-over clasp.", Bulova , 45B150 , 45B150 , Round , Mineral , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 44 millimeters , 10.75 millimeters , Stainless Steel , 21.75 millimeters , Black , Black , Stationary , Quartz , 100 Feet ,,, Stainless Steel , Chronograph , 5.6 Ounces , 8.5 inches ,," For warranty information about this product, please click here [PDF ]  ",,,,,,,,,,
428,428,https://www.amazon.com/Bulova-Special-Oceanographer-Bracelet-98B320/dp/B07HCQB1QF/ref=sr_1_231?keywords=bulova&qid=1692030894&sr=8-231,"Bulova Oceanographer Automatic Mens Stainless Steel Devil Diver , Silver-Tone (Model: 98B320)",489.99,4.3,"A design tribute to Bulova’s acclaimed ‘70’s Oceanographer ""Devil Diver"" watch powered by a self-winding mechanical movement. Stainless steel screw-back case with screw-down crown, black/red unidirectional bezel, black three-hand dial with luminescent markers and date feature, box sapphire crystal with blue anti-reflective coating, stainless steel bracelet with double-press fold-over buckle closure, safety bar and extender, and water resistance to 200 meters/666 feet.", Bulova , 98B320 , 98B320 , Round , Sapphire Crystal , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 44 millimeters , 15 millimeters , Stainless Steel , 20 millimeters , Silver , Black , Stationary , Automatic , 200 Meters ," For warranty information about this product, please click here ",, Stainless Steel , Glow In The Dark , 5.61 Ounces , Men's Standard , Date ,,2020.0,,,,,,,,,
429,429,https://www.amazon.com/Bulova-98B174-Swarovski-Crystal-Watch/dp/B00CQ7HV6G/ref=sr_1_232?keywords=bulova&qid=1692030894&sr=8-232,"Bulova Crystal Quartz Mens Watch, Stainless Steel , Two-Tone (Model: 98B174)",356.99,4.6,"From the Crystal Collection. In stainless steel with gold finish, 210 brilliant crystals on case, bracelet and champagne sunray dial, luminous hands, calendar, second hand, screw-back case, and deployment closure.   From the crystal collection. In stainless steel with gold finish, 210 individually hand-set Swarovski elements crystals on case, bracelet and champagne sunray dial, luminous hands, calendar, second hand, screw-back case, deployment buckle, and water resistance to 30 meters. Diameter: 42.0mm thickness: 10.0mm. Duet: 98m114", Bulova , 98B174 , 98B174 , Round , Mineral , Analog , Deployment Clasp , Stainless Steel , 42 millimeters , 9 millimeters , Stainless Steel , 24 millimeters , Two Tone , Beige , Stationary , Quartz , 99 Feet ,, no-metal-stamp , Stainless Steel ,, 9.6 Ounces , Men's Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2013.0,,,,,,,,,
430,430,https://www.amazon.com/Caravelle-Quartz-Stainless-Steel-Nylon/dp/B07CVJQ2HB/ref=sr_1_233?keywords=bulova&qid=1692030894&sr=8-233,"Caravelle by Bulova Traditional Quartz Mens Watch, Stainless Steel with Blue Nylon Strap, Silver-Tone (Model: 43B160)",75.0,4.2,Timeless design meets versatile style. Three-hand date feature and easy-to-read numerals with bold 24-hour design on matte black dial. Stainless steel case and two interchangeable NATO straps in navy blue and olive green.   Timeless design meets versatile style. Three-hand date feature and easy-to-read numerals with bold 24-hour design on matte black dial. Stainless steel case and two interchangeable NATO straps in navy blue and olive green. 3-Year Limited Warranty, Bulova , 43B160 , 43B160 , Round , Mineral Glass , Analog , Buckle , Stainless Steel , 40 millimeters , 9.1 millimeters , Nylon , 20 millimeters , Blue , Black , Stationary , Japanese Quartz , 33 Feet ,,, Stainless Steel , Second hand , 1.8 Ounces , Mens Standard , Date ," For warranty information about this product, please click here [PDF ]  ",,,,,,,,,,
